Geometry Friends Agents
World: ;Rectangle2014
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;1,2;2;52;40;120
2;10;0,3;2;25;25;30
3;10;0,9;3;80;80;90
4;10;0,9;2;19,9;20;91
5;10;0,8;5;90;90;80
6;10;1,3;3;40;40;130
7;10;1,9;3;49,8;50;191
8;10;1,1;3;60;60;110
9;10;2,6;3;29,6;35;291
10;10;0;3;35;35;0
