Geometry Friends Agents
World: ;AlfaCircleLevels
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;2;2;5,7;15;324
2;1;1;1;6,7;15;210
3;1;3;3;15,7;45;430
4;1;2;2;6,8;25;346
5;1;3;3;9,1;25;427
6;1;2;2;6,5;15;313
7;1;1;1;2,2;15;271
8;1;2;2;9,6;15;272
9;1;1;1;2,7;15;265
10;1;4;4;10,5;25;516
11;1;2;2;7,8;15;295
12;1;3;3;18,3;25;354
13;1;2;2;8,8;15;283
14;1;1;1;3,4;15;254
15;1;2;2;10,3;15;263
16;1;1;1;3,4;15;255
17;1;4;4;13,4;25;493
18;1;2;2;9,2;15;278
