Íñigo;;;;;;
Íñigo;;;;;;
World: ;Rectangle2022.2;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;8;120;
2;10;3;3;20;120;
3;10;2;2;7;120;
4;10;4;4;25;120;
5;10;2;2;7;120;
6;10;5;5;59;120;
7;10;1;1;2;60;
8;10;2;2;7;120;
9;10;5;6;120;120;
10;10;1;1;7;60;
