Geometry Friends Agents;;;;;;
World: ;Rectangle2022.2;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;5,4;120;1555
2;10;2;3;120;120;600
3;10;2;2;8,3;120;1531
4;10;3,1;4;109,5;120;1018
5;10;2;2;11,8;120;1502
6;10;3,5;5;92,6;120;1278
7;10;1;1;2,2;60;1263
8;10;2;2;7,5;120;1537
9;10;3,6;6;88,8;120;1340
10;10;1;1;4;60;1233
;;;;;;12857
