Íñigo;;;;;;
World: ;Rectangle2016;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;26;40;
2;10;4;4;30;65;
3;10;2;2;25;35;
4;10;3;3;14;30;
5;10;0;3;40;40;
6;10;3;3;47;90;
7;10;4;4;26;90;
8;10;4;4;21;90;
9;10;2;2;9;90;
10;10;5;5;13;90;
