Enrique;;;;;;
World: ;Rectangle2016;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;13;40;335
2;10;4;4;23;65;529,2307692
3;10;0;2;35;35;0
4;10;3;3;12;30;420
5;10;3;3;18;40;410
6;10;3;3;19;90;457,7777778
7;10;4;4;29;90;535,5555556
8;10;2;4;90;90;200
9;10;2;2;9;90;380
10;10;5;5;13;90;671,1111111
;;;;;;3938,675214
