Geometry Friends Agents;;;;;;
World: ;Cooperative2013;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;0;3;90;90;0
2;10;1;3;90;90;100
3;10;1;2;35;35;100
4;10;1,2;5;110;110;120
5;10;0;4;100;100;0
6;10;2;3;55;55;200
7;10;0;2;80;80;0
8;10;0;4;125;125;0
9;10;0;1;30;30;0
10;10;1,8;2;17,2;35;689
;;;;;;1209
