Geometry Friends Agents;;;;;;;;
World: ;Cooperative2013;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimo;Porcentaje optimo
1;10;3;3;38,3;90;874;1000;87
2;10;2,2;3;51,2;90;651;1144;57
3;10;2;2;17,3;35;704;971;73
4;10;5;5;48,8;110;1056;1245;85
5;10;4;4;32,1;100;1079;1260;86
6;10;2;3;43,8;55;404;1082;37
7;10;1,6;2;63,8;80;363;925;39
8;10;3,8;4;61,8;125;886;1192;74
9;10;0,9;1;18,8;30;464;667;70
10;10;1,3;2;23,6;35;456;971;47
;;;;;;6937;;
