I S T  Agents;;;;;;;;
World: ;Circle2017;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimum Score;Porcentaje optimo
1;10;3;3;30,9;120;448;468;96
2;10;1,9;2;20;120;357;390;92
3;10;3;3;16,8;120;472;477;99
4;10;3;3;21,4;120;464;477;97
5;10;3;3;17,5;120;471;485;97
6;10;3;3;9,4;120;484;487;99
7;10;2;2;27,7;120;354;370;96
8;10;3;3;15;120;475;490;97
9;10;1;1;7,8;120;287;295;97
10;10;2,4;3;79,7;120;307;487;63
