Geometry Friends Agents;;;;;;
World: ;Circle2017;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;3;3;23,5;120;461
2;10;2;2;7,4;120;388
3;10;3;3;16,2;120;473
4;10;3;3;19,1;120;468
5;10;3;3;12,9;120;478
6;10;3;3;8;120;487
7;10;2;2;21,7;120;364
8;10;3;3;41,4;120;431
9;10;1;1;9,4;120;284
10;10;3;3;15,1;120;475
;;;;;;4309
