Geometry Friends Agents;;;;;;;;
World: ;Circle2017;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimum Score;Porcentaje optimo
1;10;3;3;28,3;120;453;468;97
2;10;2;2;7,8;120;387;390;99
3;10;3;3;16,4;120;473;477;99
4;10;3;3;19,5;120;468;477;98
5;10;3;3;17,1;120;472;485;97
6;10;3;3;13;120;478;487;98
7;10;1;2;120;120;100;370;27
8;10;3;3;32,7;120;446;490;91
9;10;1;1;13,8;120;277;295;94
10;10;2,1;3;119,6;120;211;487;43
;;;;;;3765;;
