Distance_x;Distance_y;Current_velocity_x;Height;Hole_width;Action;Value
5;0;30;3;14;MORPH_DOWN;54,2476381620305
5;0;30;3;14;MORPH_UP;0,528449992
5;0;30;3;14;NO_ACTION;0,528449992
5;0;30;3;14;MOVE_LEFT;0,195000002
5;0;30;3;14;MOVE_RIGHT;0,195000002
5;1;30;3;14;MORPH_UP;1,588628374
5;1;30;3;14;MORPH_DOWN;0,370499999
5;1;30;3;14;MOVE_RIGHT;0,104505942
5;1;30;3;14;NO_ACTION;0,062707473
5;1;30;3;14;MOVE_LEFT;0
5;0;20;3;14;MOVE_LEFT;20,8936610208439
5;0;20;3;14;MOVE_RIGHT;0,670604982
5;0;20;3;14;MORPH_UP;0,195000002
5;0;20;3;14;MORPH_DOWN;0,195000002
5;0;20;3;14;NO_ACTION;0
5;0;50;3;14;NO_ACTION;1,548512096
5;0;50;3;14;MORPH_DOWN;0,195000002
5;0;50;3;14;MOVE_LEFT;0
5;0;50;3;14;MOVE_RIGHT;0
5;0;50;3;14;MORPH_UP;0
5;0;60;3;14;MOVE_LEFT;1,454336
5;0;60;3;14;MORPH_UP;0,528449992
5;0;60;3;14;NO_ACTION;0,195000002
5;0;60;3;14;MOVE_RIGHT;0
5;0;60;3;14;MORPH_DOWN;0
5;0;40;3;14;MORPH_DOWN;1,454336
5;0;40;3;14;MOVE_LEFT;0,370499999
5;0;40;3;14;MOVE_RIGHT;0
5;0;40;3;14;MORPH_UP;0
5;0;40;3;14;NO_ACTION;0
4;1;30;3;14;NO_ACTION;1,418822769
4;1;30;3;14;MORPH_DOWN;0,180493915
4;1;30;3;14;MOVE_RIGHT;0,17715222
4;1;30;3;14;MORPH_UP;0,092737074
4;1;30;3;14;MOVE_LEFT;0,0341975
4;1;40;3;14;MOVE_RIGHT;1,284546079
4;1;40;3;14;MOVE_LEFT;0,162172283
4;1;40;3;14;NO_ACTION;0,074861725
4;1;40;3;14;MORPH_UP;0
4;1;40;3;14;MORPH_DOWN;0
5;0;20;4;14;MORPH_UP;20,6198459154976
5;0;20;4;14;MOVE_LEFT;0,195000002
5;0;20;4;14;MOVE_RIGHT;0,195000002
5;0;20;4;14;MORPH_DOWN;0,195000002
5;0;20;4;14;NO_ACTION;0
5;1;20;3;14;MORPH_UP;1,23650841
5;1;20;3;14;MOVE_RIGHT;0,22018944
5;1;20;3;14;MORPH_DOWN;0,210772502
5;1;20;3;14;MOVE_LEFT;0,095645494
5;1;20;3;14;NO_ACTION;0
5;1;50;3;14;MORPH_UP;1,205784057
5;1;50;3;14;MOVE_LEFT;0,195000002
5;1;50;3;14;MOVE_RIGHT;0,017525
5;1;50;3;14;MORPH_DOWN;0
5;1;50;3;14;NO_ACTION;0
5;1;40;3;14;MOVE_LEFT;39,4394278728444
5;1;40;3;14;MORPH_DOWN;0,017525
5;1;40;3;14;MOVE_RIGHT;0
5;1;40;3;14;MORPH_UP;0
5;1;40;3;14;NO_ACTION;0
4;2;30;3;14;NO_ACTION;18,9556903250644
4;2;30;3;14;MOVE_RIGHT;0,553213099
4;2;30;3;14;MORPH_UP;0,238856568
4;2;30;3;14;MOVE_LEFT;0,0797341
4;2;30;3;14;MORPH_DOWN;0,037628426
5;2;30;3;14;MOVE_LEFT;0,932561175
