Distance_x;Distance_y;Current_velocity_x;Height;Hole_width;Action;Value
-3;13;-20;12;15;MORPH_DOWN;-2,10078216817914
-3;13;-20;12;15;NO_ACTION;-2,12749750112606
-3;13;0;12;15;MOVE_LEFT;-2,95293912744566
-3;13;0;12;15;MOVE_RIGHT;-2,84708358382259
-3;13;0;12;15;MORPH_UP;-3,0822542433914
-3;13;0;12;15;MORPH_DOWN;-3,07916839374108
-3;13;0;12;15;NO_ACTION;-3,38589713374753
-3;13;-10;12;15;MOVE_LEFT;-2,40990086858164
-3;13;-10;12;15;MOVE_RIGHT;-2,5205473495012
-3;13;-10;12;15;MORPH_UP;-2,55365033773002
-3;13;-10;12;15;MORPH_DOWN;-2,52160078258315
-3;13;-10;12;15;NO_ACTION;-2,40627675764828
-3;11;-10;10;15;MOVE_LEFT;-2,16910013212995
-3;11;-10;10;15;MOVE_RIGHT;-2,13854681984517
-3;11;-10;10;15;MORPH_UP;-2,18228519695398
-3;11;-10;10;15;MORPH_DOWN;-2,18543628407454
-3;11;-10;10;15;NO_ACTION;-2,13672704794441
-3;9;0;8;15;MOVE_LEFT;-2,35516310669733
-3;9;0;8;15;MOVE_RIGHT;-2,38188689923459
-3;9;0;8;15;MORPH_UP;-2,56395970264349
-3;9;0;8;15;MORPH_DOWN;-2,43769208059535
-3;9;0;8;15;NO_ACTION;-2,54815440805658
-3;12;10;11;15;MOVE_LEFT;-1,99477744149505
-3;12;10;11;15;MOVE_RIGHT;-1,81824518585846
-3;12;10;11;15;MORPH_UP;-2,09260408845475
-3;12;10;11;15;MORPH_DOWN;-1,90085496804488
-3;12;10;11;15;NO_ACTION;-2,17345573872178
-3;10;0;10;15;MOVE_LEFT;-0,766303453306861
-3;10;0;10;15;MOVE_RIGHT;-0,69995243168178
-3;10;0;10;15;MORPH_UP;-0,680065683307938
-3;10;0;10;15;MORPH_DOWN;-0,71566394098248
-3;10;0;10;15;NO_ACTION;-0,866372381018467
-3;11;0;10;15;MOVE_LEFT;-2,59171505956541
-3;11;0;10;15;MOVE_RIGHT;-2,627855788187
-3;11;0;10;15;MORPH_UP;-2,63563739583694
-3;11;0;10;15;MORPH_DOWN;-2,71699970407707
-3;11;0;10;15;NO_ACTION;-2,96886784224238
-3;10;10;9;15;MOVE_LEFT;-1,69602642105378
-3;10;10;9;15;MOVE_RIGHT;-1,576326248005
-3;10;10;9;15;MORPH_UP;-1,70435023186498
-3;10;10;9;15;MORPH_DOWN;-1,5486143507957
-3;10;10;9;15;NO_ACTION;-1,54228460108885
-3;10;0;9;15;MOVE_LEFT;-1,75080426185621
-3;10;0;9;15;MOVE_RIGHT;-1,75812190878774
-3;10;0;9;15;MORPH_UP;-1,73357680363096
-3;10;0;9;15;MORPH_DOWN;-1,93040059887518
-3;10;0;9;15;NO_ACTION;-2,1010321996823
-4;10;-20;9;15;MOVE_LEFT;-0,99855642391786
-4;10;-20;9;15;MOVE_RIGHT;-1,13339648399768
-4;10;-20;9;15;MORPH_UP;-1,047638883777
-4;10;-20;9;15;MORPH_DOWN;-1,15079087318657
-4;10;-20;9;15;NO_ACTION;-1,01050357243256
-4;8;-20;8;15;MOVE_LEFT;-0,100000001490116
-4;8;-20;8;15;MOVE_RIGHT;-0,303662942308987
-4;8;-20;8;15;MORPH_UP;0
-4;8;-20;8;15;MORPH_DOWN;-0,195579324506742
-4;8;-20;8;15;NO_ACTION;0
-4;8;-30;7;15;MOVE_LEFT;-0,891602173649795
-4;8;-30;7;15;MOVE_RIGHT;-1,15117515358881
-4;8;-30;7;15;MORPH_UP;-0,913353811645132
-4;8;-30;7;15;MORPH_DOWN;-1,10255348738274
-4;8;-30;7;15;NO_ACTION;-0,880218786286042
-5;8;-50;7;15;MOVE_LEFT;-0,302511789242153
-5;8;-50;7;15;MOVE_RIGHT;-0,479990573164735
-5;8;-50;7;15;MORPH_UP;-0,387807145819969
-5;8;-50;7;15;MORPH_DOWN;-0,453869944053916
-5;8;-50;7;15;NO_ACTION;-0,465544838150375
-5;8;-40;7;15;MOVE_LEFT;-0,893161591488655
-5;8;-40;7;15;MOVE_RIGHT;-0,897271238896979
-5;8;-40;7;15;MORPH_UP;-1,07404756991596
-5;8;-40;7;15;MORPH_DOWN;-0,784893282162885
-5;8;-40;7;15;NO_ACTION;-0,935918192782369
-5;8;30;7;15;MOVE_LEFT;-1,84101123411324
-5;8;30;7;15;MOVE_RIGHT;-1,73227590358361
-5;8;30;7;15;MORPH_UP;-1,71213370261283
-5;8;30;7;15;MORPH_DOWN;-1,76980546817006
-5;8;30;7;15;NO_ACTION;-1,99347393054176
-5;12;30;11;15;MOVE_LEFT;-1,53550572511026
-5;12;30;11;15;MOVE_RIGHT;-1,49655638923549
-5;12;30;11;15;MORPH_UP;-1,47902699916985
-5;12;30;11;15;MORPH_DOWN;-1,53118465472186
-5;12;30;11;15;NO_ACTION;-1,68940306794809
-5;10;20;10;15;MOVE_LEFT;-0,57323876679574
-5;10;20;10;15;MOVE_RIGHT;-0,367119814091555
-5;10;20;10;15;MORPH_UP;-0,636044227197206
-5;10;20;10;15;MORPH_DOWN;-0,37761890616336
-5;10;20;10;15;NO_ACTION;-0,740245393737323
-4;10;20;9;15;MOVE_LEFT;-1,58055436185759
-4;10;20;9;15;MOVE_RIGHT;-1,61362102174664
-4;10;20;9;15;MORPH_UP;-2,21487295530408
-4;10;20;9;15;MORPH_DOWN;-1,72839342293729
-4;10;20;9;15;NO_ACTION;-1,59915023075827
-4;10;0;9;15;MOVE_LEFT;-2,1046817248318
-4;10;0;9;15;MOVE_RIGHT;-2,16273958409448
-4;10;0;9;15;MORPH_UP;-2,21092457926239
-4;10;0;9;15;MORPH_DOWN;-2,13625423398419
-4;10;0;9;15;NO_ACTION;-2,32527529097558
-4;10;10;9;15;MOVE_LEFT;-2,04355466257642
-4;10;10;9;15;MOVE_RIGHT;-1,79807071060925
-4;10;10;9;15;MORPH_UP;-1,99272184849155
-4;10;10;9;15;MORPH_DOWN;-1,92320517476736
-4;10;10;9;15;NO_ACTION;-1,80695285482259
-4;8;10;7;15;MOVE_LEFT;-2,20742397232117
-4;8;10;7;15;MOVE_RIGHT;-2,34114812217037
-4;8;10;7;15;MORPH_UP;-2,25726233689617
-4;8;10;7;15;MORPH_DOWN;-2,2569078319566
-4;8;10;7;15;NO_ACTION;-2,21863348201237
-4;8;-10;7;15;MOVE_LEFT;-1,89612545606111
-4;8;-10;7;15;MOVE_RIGHT;-2,0619668116539
-4;8;-10;7;15;MORPH_UP;-1,9632206872295
-4;8;-10;7;15;MORPH_DOWN;-1,95315574875565
-4;8;-10;7;15;NO_ACTION;-1,91718212702901
-4;6;0;6;15;MOVE_LEFT;-0,225158898813073
-4;6;0;6;15;MOVE_RIGHT;-0,334276584861648
-4;6;0;6;15;MORPH_UP;-0,376505576512796
-4;6;0;6;15;MORPH_DOWN;-0,146007734886629
-4;6;0;6;15;NO_ACTION;-0,139805950334001
-4;9;-10;8;15;MOVE_LEFT;-2,27635306135742
-4;9;-10;8;15;MOVE_RIGHT;-2,44404660685283
-4;9;-10;8;15;MORPH_UP;-2,39266221836494
-4;9;-10;8;15;MORPH_DOWN;-2,25225195627218
-4;9;-10;8;15;NO_ACTION;-2,31463483939916
-5;13;-10;12;15;MOVE_LEFT;-3,21985761946227
-5;13;-10;12;15;MOVE_RIGHT;-3,1671848158407
-5;13;-10;12;15;MORPH_UP;-3,1832293401587
-5;13;-10;12;15;MORPH_DOWN;-3,17499343034747
-5;13;-10;12;15;NO_ACTION;-3,22035946326407
-5;13;10;12;15;MOVE_LEFT;-3,3588980201834
-5;13;10;12;15;MOVE_RIGHT;-3,20102159330194
-5;13;10;12;15;MORPH_UP;-3,30647421524177
-5;13;10;12;15;MORPH_DOWN;-3,24745581135231
-5;13;10;12;15;NO_ACTION;-3,35446017054626
-4;13;10;12;15;MOVE_LEFT;-3,26429848092131
-4;13;10;12;15;MOVE_RIGHT;-3,18208753040623
-4;13;10;12;15;MORPH_UP;-3,05206921626951
-4;13;10;12;15;MORPH_DOWN;-2,99619761409015
-4;13;10;12;15;NO_ACTION;-3,09476099815236
-4;13;0;12;15;MOVE_LEFT;-3,22250908831947
-4;13;0;12;15;MOVE_RIGHT;-3,33430028531693
-4;13;0;12;15;MORPH_UP;-3,51498853138921
-4;13;0;12;15;MORPH_DOWN;-3,25477690632817
-4;13;0;12;15;NO_ACTION;-3,36569457367312
-4;11;0;10;15;MOVE_LEFT;-2,71371726092812
-4;11;0;10;15;MOVE_RIGHT;-2,7983962504481
-4;11;0;10;15;MORPH_UP;-2,95434806424603
-4;11;0;10;15;MORPH_DOWN;-2,77834547264951
-4;11;0;10;15;NO_ACTION;-2,7903380736312
-4;11;-20;10;15;MOVE_LEFT;-2,08314502241463
-4;11;-20;10;15;MOVE_RIGHT;-2,23471381309171
-4;11;-20;10;15;MORPH_UP;-2,13493798727959
-4;11;-20;10;15;MORPH_DOWN;-2,3359091864736
-4;11;-20;10;15;NO_ACTION;-2,12753848625348
-5;11;0;10;15;MOVE_LEFT;-3,11029033750319
-5;11;0;10;15;MOVE_RIGHT;-3,06478659745589
-5;11;0;10;15;MORPH_UP;-3,22423465256759
-5;11;0;10;15;MORPH_DOWN;-3,11843736009608
-5;11;0;10;15;NO_ACTION;-3,18807199971608
-5;9;0;8;15;MOVE_LEFT;-3,26554187932261
-5;9;0;8;15;MOVE_RIGHT;-3,33150840522172
-5;9;0;8;15;MORPH_UP;-3,37666233307799
-5;9;0;8;15;MORPH_DOWN;-3,45452371681263
-5;9;0;8;15;NO_ACTION;-3,42367484079136
-5;6;0;6;15;MOVE_LEFT;-0,726347088934251
-5;6;0;6;15;MOVE_RIGHT;-0,507106165432947
-5;6;0;6;15;MORPH_UP;-0,632104140205942
-5;6;0;6;15;MORPH_DOWN;-0,625423707494717
-5;6;0;6;15;NO_ACTION;-0,664700347611899
-5;13;0;12;15;MOVE_LEFT;-3,48485118384251
-5;13;0;12;15;MOVE_RIGHT;-3,56169965768406
-5;13;0;12;15;MORPH_UP;-3,98549626303768
-5;13;0;12;15;MORPH_DOWN;-3,4855492607233
-5;13;0;12;15;NO_ACTION;-3,5643671964971
-5;10;0;10;15;MOVE_LEFT;-0,745743815770966
-5;10;0;10;15;MOVE_RIGHT;-0,961400545339246
-5;10;0;10;15;MORPH_UP;-0,774702834576575
-5;10;0;10;15;MORPH_DOWN;-1,06168185791851
-5;10;0;10;15;NO_ACTION;-0,980422129631442
-5;10;-20;9;15;MOVE_LEFT;-1,55278243567366
-5;10;-20;9;15;MOVE_RIGHT;-1,64591883710653
-5;10;-20;9;15;MORPH_UP;-1,54765748561181
-5;10;-20;9;15;MORPH_DOWN;-1,58080058889216
-5;10;-20;9;15;NO_ACTION;-1,75336788204364
-5;13;-20;12;15;MOVE_LEFT;-2,72977649075918
-5;13;-20;12;15;MOVE_RIGHT;-2,99115922994213
-5;13;-20;12;15;MORPH_UP;-2,81459454283541
-5;13;-20;12;15;MORPH_DOWN;-2,68856744338951
-5;13;-20;12;15;NO_ACTION;-2,73696999455083
-5;11;30;10;15;MOVE_LEFT;-2,7668661110413
-5;11;30;10;15;MOVE_RIGHT;-2,12861797272488
-5;11;30;10;15;MORPH_UP;-2,36055170414212
-5;11;30;10;15;MORPH_DOWN;-2,61679663041006
-5;11;30;10;15;NO_ACTION;-2,305082483003
-5;7;0;7;15;MOVE_LEFT;-0,811638440854399
-5;7;0;7;15;MOVE_RIGHT;-0,818804823641693
-5;7;0;7;15;MORPH_UP;-0,802581709434791
-5;7;0;7;15;MORPH_DOWN;-0,614564437064787
-5;7;0;7;15;NO_ACTION;-0,555581062120384
-5;7;10;6;15;MOVE_LEFT;-3,77794054076574
-5;7;10;6;15;MOVE_RIGHT;-3,81223013497999
-5;7;10;6;15;MORPH_UP;-3,81800575156288
-5;7;10;6;15;MORPH_DOWN;-3,76555984842532
-5;7;10;6;15;NO_ACTION;-3,79917939553337
-4;7;30;6;15;MOVE_LEFT;-2,20425032816932
-4;7;30;6;15;MOVE_RIGHT;-2,24024242828331
-4;7;30;6;15;MORPH_UP;-2,36905957297845
-4;7;30;6;15;MORPH_DOWN;-2,32665692819493
-4;7;30;6;15;NO_ACTION;-2,27558863703131
-3;10;20;9;15;MOVE_LEFT;-1,18606657364466
-3;10;20;9;15;MOVE_RIGHT;-1,21003216186455
-3;10;20;9;15;MORPH_UP;-1,25252131008742
-3;10;20;9;15;MORPH_DOWN;-1,14236265296735
-3;10;20;9;15;NO_ACTION;-1,15199411935795
-3;11;20;10;15;MOVE_LEFT;-2,07993662204773
-3;11;20;10;15;MOVE_RIGHT;-2,10939084888896
-3;11;20;10;15;MORPH_UP;-2,06318237385982
-3;11;20;10;15;MORPH_DOWN;-2,18199606149824
-3;11;20;10;15;NO_ACTION;-2,13189645188723
-3;8;0;7;15;MOVE_LEFT;-1,96238844645888
-3;8;0;7;15;MOVE_RIGHT;-2,08210905400329
-3;8;0;7;15;MORPH_UP;-2,15035046177511
-3;8;0;7;15;MORPH_DOWN;-2,07129921907401
