Geometry Friends Agents;;;;;;
World: ;Rectangle2014;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;12,7;40;882
2;10;2;2;7,3;25;908
3;10;2,9;3;30,2;80;913
4;10;2;2;13,7;20;515
5;10;4,8;5;43;90;1002
6;10;3;3;17,4;40;866
7;10;2,7;3;25,2;50;766
8;10;2,5;3;49,1;60;432
9;10;2,9;3;15;35;862
10;10;2,1;3;29,4;35;371
;;;;;;7517
