Geometry Friends Agents
World: ;Rectangle2014
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;13;40;875
2;10;2;2;7,1;25;915
3;10;2,9;3;31,7;80;893
4;10;1,9;2;13,6;20;510
5;10;5;5;37,2;90;1087
6;10;3;3;17,2;40;870
7;10;3;3;15;50;1001
8;10;2,6;3;45,5;60;502
9;10;2,8;3;15,1;35;849
10;10;1,9;3;31;35;304
