Geometry Friends Agents
World: ;Circle2023
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;18,5;120;200
2;10;3;3;11,8;120;300
3;10;1,6;2;83,3;120;160
4;10;3;3;16,1;120;300
5;10;3;3;23,4;120;300
