Geometry Friends Agents
Geometry Friends Agents
World: ;Circle2014
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;6,2;20;892
2;10;3;3;13,4;45;1002
3;10;3;3;18,1;60;998
4;10;4;4;20,1;80;1148
5;10;2;2;17,9;70;944
6;10;2;2;10,3;40;942
7;10;2,3;3;51,2;60;376
8;10;3;3;25,1;40;673
9;10;3;3;26,4;80;970
10;10;3;3;27,9;100;1021
