Geometry Friends Agents
World: ;Circle2022.1
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;5;5;20,3;120;2331
2;10;2;2;9;120;1525
3;10;4;4;15,7;120;2069
4;10;2;2;17,8;120;1451
5;10;2;2;14,4;120;1480
6;10;4;4;17,3;120;2056
7;10;5;5;23,5;120;2304
8;10;5;5;20,3;120;2331
9;10;5;5;31,5;120;2237
10;10;2,8;3;77,4;120;1195
