Geometry Friends Agents
World: ;Circle2014
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;6,3;20;883
2;10;3;3;13,4;45;1002
3;10;3;3;18,2;60;997
4;10;4;4;17,6;80;1180
5;10;2;2;18;70;943
6;10;2;2;10,5;40;938
7;10;3;3;35,8;60;704
8;10;3;3;25;40;675
9;10;3;3;27;80;963
10;10;3;3;26,8;100;1032
