Geometry Friends Agents
World: ;Circle2022.1
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;5;5;20,2;120;2332
2;10;2;2;8,9;120;1526
3;10;4;4;15,6;120;2070
4;10;2;2;16,2;120;1465
5;10;2;2;12,8;120;1493
6;10;4;4;17,3;120;2056
7;10;5;5;23,5;120;2304
8;10;5;5;20,1;120;2332
9;10;5;5;31,7;120;2236
10;10;2,8;3;80,5;120;1170
