Enrique;;;;;;
World: ;Circle2022.1;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;5;5;12;120;2400
2;10;2;2;7;120;1541,666667
3;10;4;4;61;120;1691,666667
4;10;2;2;18;120;1450
5;10;2;2;9;120;1525
6;10;4;4;15;120;2075
7;10;5;5;33;120;2225
8;10;5;5;24;120;2300
9;10;5;5;32;120;2233,333333
10;10;3;3;111;120;975
;;;;;;18416,66667
