Pablo T;;;;;;
World: ;Circle2017;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;3;3;27;120;455
2;10;2;2;11;120;381,6666667
3;10;3;3;15;120;475
4;10;3;3;16;120;473,3333333
5;10;3;3;11;120;481,6666667
6;10;3;3;12;120;480
7;10;2;2;24;120;360
8;10;3;3;22;120;463,3333333
9;10;1;1;11;120;281,6666667
10;10;3;3;11;120;481,6666667
;;;;;;4333,333333
