Geometry Friends Agents
World: ;Circle2017
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;3;3;23,9;120;460
2;10;2;2;7,8;120;387
3;10;3;3;16,5;120;472
4;10;3;3;19,3;120;468
5;10;3;3;11,8;120;480
6;10;3;3;10,5;120;482
7;10;2;2;22,4;120;363
8;10;3;3;41;120;432
9;10;1;1;9,6;120;284
10;10;3;3;19,7;120;467
