Geometry Friends Agents
World: ;Circle2017
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;3;3;23,8;120;460
2;10;2;2;7,9;120;387
3;10;3;3;16,5;120;473
4;10;3;3;19,3;120;468
5;10;3;3;11,8;120;480
6;10;3;3;9,6;120;484
7;10;2;2;22,5;120;363
8;10;3;3;30,5;120;449
9;10;1;1;9,5;120;284
10;10;3;3;17;120;472
