I S T  Agents
World: ;Circle2022.1
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;5;5;17,1;120;2357
2;10;2;2;8,5;120;1529
3;10;1;4;120;120;300
4;10;2;2;20,1;120;1433
5;10;1,8;2;22,7;120;1351
6;10;3,8;4;37,7;120;1825
7;10;5;5;33,2;120;2224
8;10;5;5;20,7;120;2327
9;10;5;5;69,9;120;1917
10;10;2,5;3;74,7;120;1127
