Enrique;;;;;;
World: ;Circle2017;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;3;3;31;120;448,3333333
2;10;2;2;7;120;388,3333333
3;10;3;3;15;120;475
4;10;3;3;16;120;473,3333333
5;10;3;3;14;120;476,6666667
6;10;3;3;11;120;481,6666667
7;10;2;2;26;120;356,6666667
8;10;3;3;29;120;451,6666667
9;10;1;1;15;120;275
10;10;3;3;31;120;448,3333333
;;;;;;4275
