Pablo T;;;;;;
World: ;Circle2017;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;3;3;27;120;
2;10;1;2;120;120;
3;10;3;3;15;120;
4;10;3;3;16;120;
5;10;3;3;14;120;
6;10;3;3;13;120;
7;10;2;2;20;120;
8;10;3;3;33;120;
9;10;1;1;28;120;
10;10;3;3;32;120;
