Oscar;;;;;;
World: ;Circle2014;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;6;20;
2;10;3;3;13;45;
3;10;3;3;38;60;
4;10;4;4;22;80;
5;10;2;2;22;70;
6;10;2;2;21;40;
7;10;2;3;60;60;
8;10;3;3;24;40;
9;10;3;3;24;80;
10;10;3;3;46;100;
