Pablo T;;;;;;
World: ;Circle2022.1;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;5;5;13;120;
2;10;2;2;18;120;
3;10;4;4;75;120;
4;10;2;2;18;120;
5;10;2;2;8;120;
6;10;2;4;120;120;
7;10;5;5;39;120;
8;10;5;5;31;120;
9;10;5;5;34;120;
10;10;2;3;120;120;
