Geometry Friends Agents;;;;;;
World: ;Rectangle2014;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;11,2;40;344
2;10;2;2;6,5;25;348
3;10;2,5;3;57,5;80;306
4;10;2;2;15,6;20;244
5;10;4,8;5;49,6;90;570
6;10;3;3;17,6;40;412
7;10;2;3;50;50;200
8;10;3;3;23,9;60;420
9;10;3;3;10,6;35;439
10;10;2,4;3;26,8;35;287
;;;;;;3570
