Geometry Friends Agents
World: ;Rectangle2022.2
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;5,3;120;1556
2;10;3;3;39,1;120;1574
3;10;2;2;8,3;120;1530
4;10;2,7;4;120;120;810
5;10;2;2;12,9;120;1492
6;10;5;5;49,2;120;2090
7;10;1;1;2,2;60;1263
8;10;2;2;6,7;120;1544
9;10;2,4;6;111,8;120;789
10;10;1;1;3,7;60;1239
