Geometry Friends Agents;;;;;;;;
World: ;Cooperative2022.1;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;optimo;Porcentaje optimo
1;10;0;1;120;120;0;1233;0
2;10;2,7;5;120;120;810;2367;34
3;10;0;1;120;120;0;1250;0
4;10;2;3;120;120;600;1867;32
5;10;2;2;19,2;120;1040;1525;68
6;10;1;2;120;120;300;1517;20
7;10;2;3;120;120;600;1758;34
8;10;2,8;8;120;120;840;3283;26
9;10;3,5;4;66,3;120;1497;2150;70
10;10;0;1;120;120;0;1250;0
;;;;;;5687;;
