Geometry Friends Agents
World: ;Rectangle2014
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;11,2;40;920
2;10;2;2;6,5;25;941
3;10;2,1;3;76;80;260
4;10;1,9;2;8,9;20;746
5;10;5;5;55,8;90;880
6;10;3;3;18,7;40;832
7;10;2;3;50;50;200
8;10;3;3;23,4;60;910
9;10;3;3;10,7;35;994
10;10;2,4;3;26,8;35;474
