Geometry Friends Agents
World: ;Circle2019
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;3;3;27,6;120;1670
2;1;3;3;52,3;120;1464
3;1;3;3;32,8;120;1626
4;1;1;1;9,5;120;1220
5;1;3;3;12;120;1800

7;1;3;3;11;120;1808
8;1;2;2;22,7;120;1411
9;1;3;3;19,9;120;1734
10;1;3;3;8,8;120;1827
