Geometry Friends Agents;;;;;;;;
World: ;Circle2014;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimum Score;Porcentaje optimo
1;10;2;2;5,7;20;913;1000;91
2;10;3;3;13,2;45;1007;1100;92
3;10;3;3;18;60;1000;1150;87
4;10;4;4;20,7;80;1141;1250;91
5;10;2;2;17,7;70;948;986;96
6;10;2;2;10,5;40;937;1025;91
7;10;2,6;3;32;60;726;1100;66
8;10;3;3;24,8;40;681;725;94
9;10;3;3;26,4;80;971;1025;95
10;10;3;3;25,9;100;1040;1090;95
;;;;;;9364;10451;
