Geometry Friends Agents
World: ;Circle2022.1
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;4,7;5;46,8;120;2020
2;10;2;2;11,9;120;1501
3;10;4;4;30,3;120;1948
4;10;2;2;19,4;120;1438
5;10;2;2;9,9;120;1518
6;10;3;4;72,2;120;1298
7;10;4,9;5;67,2;120;1910
8;10;5;5;33,8;120;2219
9;10;5;5;44,5;120;2129
10;10;2,3;3;100,3;120;854
