Geometry Friends Agents
World: ;World
level;runs;collectibles average;collectibles available;time average;time limit;score average


Geometry Friends Agents
World: ;World
level;runs;collectibles average;collectibles available;time average;time limit;score average
6;40;0;1;975,2;1000;7
Geometry Friends Agents
World: ;World
level;runs;collectibles average;collectibles available;time average;time limit;score average
7;40;0;1;976,7;1000;7
Geometry Friends Agents
World: ;World
level;runs;collectibles average;collectibles available;time average;time limit;score average


Geometry Friends Agents
World: ;World
level;runs;collectibles average;collectibles available;time average;time limit;score average


Geometry Friends Agents
World: ;World
level;runs;collectibles average;collectibles available;time average;time limit;score average

Geometry Friends Agents
World: ;World
level;runs;collectibles average;collectibles available;time average;time limit;score average

Geometry Friends Agents
World: ;World
level;runs;collectibles average;collectibles available;time average;time limit;score average
6;20;0,1;1;950,3;1000;15
7;20;0;1;900;1000;0
Geometry Friends Agents
World: ;World
level;runs;collectibles average;collectibles available;time average;time limit;score average


Geometry Friends Agents
World: ;World
level;runs;collectibles average;collectibles available;time average;time limit;score average


Geometry Friends Agents
World: ;World
level;runs;collectibles average;collectibles available;time average;time limit;score average


Geometry Friends Agents
World: ;World
level;runs;collectibles average;collectibles available;time average;time limit;score average
6;40;0;1;25;1000;0
