Geometry Friends Agents
World: ;Circle2023
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;21,3;120;365
2;10;3;3;27,9;120;454
3;10;1,8;2;66;120;270
4;10;3;3;16;120;473
5;10;3;3;21,5;120;464
