Geometry Friends Agents;;;;;;
World: ;Circle2014;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;11,5;20;625
2;10;3;3;17,8;45;904,4444444
3;10;2,9;3;24,2;60;886,6666667
4;10;4;4;18,7;80;1166,25
5;10;1,6;2;43,1;70;544,2857143
6;10;1,4;2;25,5;40;502,5
7;10;2,9;3;17,3;60;1001,666667
8;10;2;3;40;40;200
9;10;3;3;32,5;80;893,75
10;10;2,2;3;94,4;100;276
;;;;;;7000,563492
