Geometry Friends Agents
World: ;Circle2023
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;20;2;2;19,6;120;201
2;20;3;3;11,2;120;301
3;20;2;2;52,6;120;201
4;20;3;3;21;120;296
5;20;3;3;22,7;120;301
