Geometry Friends Agents
World: ;Circle 2014 Competition
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;0,6;2;18,6;20;74
2;10;0,7;3;45;45;70
3;10;0,4;3;60;60;40
4;10;1,8;4;72;80;180



8;10;0,2;3;4;40;20


