1,39
1,322
1,334
1,585
0,86
21,186
3,849
2,577
2,312
2,563
0,311
6,877
12,942
6,437
6,61
1,284
5,968
0,8470001
1,142
13,389
2,803
21,028
21,803
21,273
0,9
20,534
5,292
1,751
0,6070001
10,76
21,302
0,323
0,568
0,336
0,236
0,434
0,424
0,397
0,182
0,367
0,458
4,015
22,932
20,195
5,976
5,579
7,526
8,336
7,826
6,031
24,656
0,409
0,356
0,281
0,129
2,668
4,074
1,464
0,45
0,406
21,902
1,995
20,539
13,708
15,745
7,797
8,332001
0,9170001
23,229
22,414
3,001
8,657001
1,131
6,327
6,484
21,393
2,638
4,66
1,28
0,511
0,297
0,298
0,438
0,122
0,186
0,344
0,433
0,226
0,219
3,053
3,62
17,138
9,758
8,585
3,734
7,107
3,217
22,407
5,832
0,188
3,966
3,381
28,922
3,91
8,971001
2,956
5,484
25,054
4,839
7,698
1,55
22,109
23,116
12,432
9,133
2,785
21,174
1,906
2,604
13,024
1,139
0,803
0,8470001
0,287
0,766
0,7410001
0,589
1,135
0,6670001
0,742
0,52
8,870001
1,724
2,49
3,502
3,592
6,547
3,737
6,079
3,207
2,533
0,305
9,204
11,526
17,09
4,28
14,631
5,125
5,362
6,634
7,025
10,97
22,623
7,243001
0,387
0,659
4,541
4,363
0,148
