Geometry Friends Agents
World: ;Circle2014
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;6;20;898
2;10;3;3;16,3;45;938
3;10;1,9;3;45,9;60;425
4;10;4;4;17,7;80;1179
5;10;2;2;18;70;943
6;10;2;2;10,3;40;943
7;10;2,8;3;35,3;60;691
8;10;3;3;25;40;674
9;10;3;3;29,1;80;936
10;10;2,4;3;62,4;100;616
