Geometry Friends Agents
World: ;World2
level;runs;collectibles average;collectibles available;time average;time limit;score average
7;600;0,4;1;12,2;15;74
Geometry Friends Agents
World: ;World2
level;runs;collectibles average;collectibles available;time average;time limit;score average
7;1000;0,4;1;12;15;76
Geometry Friends Agents
World: ;World2
level;runs;collectibles average;collectibles available;time average;time limit;score average
7;1000;0,4;1;11,6;15;83
Geometry Friends Agents
World: ;World2
level;runs;collectibles average;collectibles available;time average;time limit;score average
7;1000;0,4;1;11,5;15;86
