Distance;Current_Velocity;Target_Velocity;Move;Value;Times
6;-140;160;NO_ACTION;-10,0000001490116;1
4;-140;160;ROLL_LEFT;2,50209878807733;2
4;-140;160;ROLL_RIGHT;-10,0000001490116;1
4;-140;160;NO_ACTION;-10,0000001490116;1
2;-140;160;ROLL_LEFT;3,82110815437721;4
2;-140;160;ROLL_RIGHT;-9,69566577295156;1
2;-140;160;NO_ACTION;-10,0000001490116;1
0;-120;160;ROLL_LEFT;4,54026763953681;5
0;-120;160;ROLL_RIGHT;-9,90500014737249;1
0;-120;160;NO_ACTION;-18,6580548909742;2
1;120;-160;ROLL_LEFT;-18,5110004065969;2
1;120;-160;ROLL_RIGHT;5,2949445087643;7
1;120;-160;NO_ACTION;-9,71266721857844;1
3;120;-160;ROLL_LEFT;-19,0528555541416;2
3;120;-160;ROLL_RIGHT;3,93134058495221;4
3;120;-160;NO_ACTION;-10,0000001490116;1
5;120;-160;ROLL_LEFT;-1,08831383871064;4
5;120;-160;ROLL_RIGHT;-0,787110176138747;3
5;120;-160;NO_ACTION;-0,542856522798447;4
6;140;-160;ROLL_LEFT;8,40837420724644;8
6;140;-160;ROLL_RIGHT;-18,3595461324603;2
6;140;-160;NO_ACTION;-26,067888688055;3
8;140;-160;ROLL_LEFT;8,96920626628925;6
8;140;-160;ROLL_RIGHT;-9,8951177721767;1
8;140;-160;NO_ACTION;-9,73454542742703;1
10;140;-160;ROLL_LEFT;9,4712434769593;10
10;140;-160;ROLL_RIGHT;0;0
10;140;-160;NO_ACTION;0;0
12;140;-160;ROLL_LEFT;5,81815984917675;6
12;140;-160;ROLL_RIGHT;0;0
12;140;-160;NO_ACTION;0;0
14;140;-160;ROLL_LEFT;3,94802002905959;4
14;140;-160;ROLL_RIGHT;-9,89597514719553;1
14;140;-160;NO_ACTION;-19,0000000447035;2
16;120;-160;ROLL_LEFT;4,37260634079731;4
16;120;-160;ROLL_RIGHT;0;0
16;120;-160;NO_ACTION;-10,0000001490116;1
17;100;-160;ROLL_LEFT;5,56103056387099;5
17;100;-160;ROLL_RIGHT;-18,602274241434;2
17;100;-160;NO_ACTION;-18,7911465838514;2
18;100;-160;ROLL_LEFT;7,53896796694925;7
18;100;-160;ROLL_RIGHT;-26,7273971475608;3
18;100;-160;NO_ACTION;-18,5898327149327;2
20;100;-160;ROLL_LEFT;3,92213250328383;4
20;100;-160;ROLL_RIGHT;0;0
20;100;-160;NO_ACTION;0;0
21;100;-160;ROLL_LEFT;2,40832193048486;2
21;100;-160;ROLL_RIGHT;0;0
21;100;-160;NO_ACTION;-10,0000001490116;1
22;80;-160;ROLL_LEFT;7,6652902423426;7
22;80;-160;ROLL_RIGHT;-9,8943461346802;1
22;80;-160;NO_ACTION;-10,0000001490116;1
23;60;-160;ROLL_LEFT;7,51122051461183;8
23;60;-160;ROLL_RIGHT;-26,2940539213992;3
23;60;-160;NO_ACTION;-9,7694420846769;1
24;60;-160;ROLL_LEFT;5,6520852104353;5
24;60;-160;ROLL_RIGHT;0;0
24;60;-160;NO_ACTION;-18,9050000430644;2
25;40;-160;ROLL_LEFT;5,6608160526185;7
25;40;-160;ROLL_RIGHT;0;0
25;40;-160;NO_ACTION;-19,0541500449583;2
25;-40;-160;ROLL_LEFT;-0,598500001832843;2
25;-40;-160;ROLL_RIGHT;-0,576970297383774;2
25;-40;-160;NO_ACTION;-1,08828672820369;4
25;-60;-160;ROLL_LEFT;-0,598086751087401;2
25;-60;-160;ROLL_RIGHT;-0,598500001832843;2
25;-60;-160;NO_ACTION;-0,601207501885928;2
24;-60;-160;ROLL_LEFT;-0,328500004962087;1
24;-60;-160;ROLL_RIGHT;-0,598500001832843;2
24;-60;-160;NO_ACTION;-0,890234991517514;3
23;-60;-160;ROLL_LEFT;-0,812999992087483;3
23;-60;-160;ROLL_RIGHT;-0,300000004470348;1
23;-60;-160;NO_ACTION;-0,328500004962087;1
23;-40;-160;ROLL_LEFT;-0,841499992579221;3
23;-40;-160;ROLL_RIGHT;0,0141665481636327;4
23;-40;-160;NO_ACTION;-0,841499992579221;3
22;-40;-160;ROLL_LEFT;-0,602334947571756;2
22;-40;-160;ROLL_RIGHT;1,6453932914214;3
22;-40;-160;NO_ACTION;-0,841499992579221;3
22;-20;-160;ROLL_LEFT;1,23875707630064;6
22;-20;-160;ROLL_RIGHT;13,2003113576518;42
22;-20;-160;NO_ACTION;1,45479187604041;11
21;-20;-160;ROLL_LEFT;5,54926418105303;9
21;-20;-160;ROLL_RIGHT;26,3460913826389;68
21;-20;-160;NO_ACTION;9,76400616504804;11
21;-40;-160;ROLL_LEFT;-0,570000001341104;2
21;-40;-160;ROLL_RIGHT;2,31109029304075;4
21;-40;-160;NO_ACTION;-0,610434775549906;2
20;-40;-160;ROLL_LEFT;-0,880893488791858;3
20;-40;-160;ROLL_RIGHT;16,1218745578312;8
20;-40;-160;NO_ACTION;1,46363363893495;4
19;-40;-160;ROLL_LEFT;-0,835097293701043;3
19;-40;-160;ROLL_RIGHT;24,4529467220349;15
19;-40;-160;NO_ACTION;2,60210863284963;5
19;-20;-160;ROLL_LEFT;28,7932892369302;23
19;-20;-160;ROLL_RIGHT;61,6651467338859;193
19;-20;-160;NO_ACTION;44,152948866969;30
18;-20;-160;ROLL_LEFT;44,0283100857484;51
18;-20;-160;ROLL_RIGHT;62,5477464287919;375
18;-20;-160;NO_ACTION;55,94229458515;57
17;0;-160;ROLL_LEFT;71,4149012675038;1130
17;0;-160;ROLL_RIGHT;-28,4435829633157;147
17;0;-160;NO_ACTION;-34,9366885526953;142
18;20;-160;ROLL_LEFT;79,6780122891946;157
18;20;-160;ROLL_RIGHT;-39,1775068413589;18
18;20;-160;NO_ACTION;-38,2290167620612;14
18;40;-160;ROLL_LEFT;79,341169540665;64
18;40;-160;ROLL_RIGHT;-54,3567544327902;11
18;40;-160;NO_ACTION;-55,6843355363436;16
19;40;-160;ROLL_LEFT;42,5287719203936;40
19;40;-160;ROLL_RIGHT;-14,9597667027602;2
19;40;-160;NO_ACTION;-29,9154616386217;6
19;60;-160;ROLL_LEFT;24,0536953732347;19
19;60;-160;ROLL_RIGHT;-17,2450065606519;2
19;60;-160;NO_ACTION;-49,0950050424149;7
20;60;-160;ROLL_LEFT;11,1447021878736;10
20;60;-160;ROLL_RIGHT;-33,4504181084002;4
20;60;-160;NO_ACTION;-18,2706990068727;2
21;60;-160;ROLL_LEFT;6,52086863332604;5
21;60;-160;ROLL_RIGHT;-18,4959630602222;2
21;60;-160;NO_ACTION;-27,0230497389987;3
23;80;-160;ROLL_LEFT;4,19013559728092;4
23;80;-160;ROLL_RIGHT;0;0
23;80;-160;NO_ACTION;-10,0000001490116;1
24;80;-160;ROLL_LEFT;3,60186579331216;3
24;80;-160;ROLL_RIGHT;-10,0000001490116;1
24;80;-160;NO_ACTION;-9,90500014737249;1
25;80;-160;ROLL_LEFT;0;0
25;80;-160;ROLL_RIGHT;-10,0000001490116;1
25;80;-160;NO_ACTION;-10,0000001490116;1
24;-120;-160;ROLL_LEFT;-0,300000004470348;1
24;-120;-160;ROLL_RIGHT;-0,300000004470348;1
24;-120;-160;NO_ACTION;0;0
23;-140;-160;ROLL_LEFT;0;0
23;-140;-160;ROLL_RIGHT;-0,300000004470348;1
23;-140;-160;NO_ACTION;-0,300000004470348;1
21;-140;-160;ROLL_LEFT;-0,300000004470348;1
21;-140;-160;ROLL_RIGHT;0;0
21;-140;-160;NO_ACTION;-0,300000004470348;1
19;-140;-160;ROLL_LEFT;-0,300000004470348;1
19;-140;-160;ROLL_RIGHT;0;0
19;-140;-160;NO_ACTION;-0,300000004470348;1
17;-140;-160;ROLL_LEFT;0;0
17;-140;-160;ROLL_RIGHT;-0,300000004470348;1
17;-140;-160;NO_ACTION;-0,300000004470348;1
15;-120;-160;ROLL_LEFT;-0,300000004470348;1
15;-120;-160;ROLL_RIGHT;0;0
15;-120;-160;NO_ACTION;-0,328500004962087;1
14;-140;-160;ROLL_LEFT;0;0
14;-140;-160;ROLL_RIGHT;-0,300000004470348;1
14;-140;-160;NO_ACTION;0;0
12;-140;-160;ROLL_LEFT;-0,300000004470348;1
12;-140;-160;ROLL_RIGHT;-0,328500004962087;1
12;-140;-160;NO_ACTION;-0,300000004470348;1
10;-120;-160;ROLL_LEFT;-0,300000004470348;1
10;-120;-160;ROLL_RIGHT;-0,300000004470348;1
10;-120;-160;NO_ACTION;-0,570000001341104;2
9;-120;-160;ROLL_LEFT;-0,290739404637544;1
9;-120;-160;ROLL_RIGHT;0;0
9;-120;-160;NO_ACTION;-0,300000004470348;1
7;-100;-160;ROLL_LEFT;-1,10844240917233;4
7;-100;-160;ROLL_RIGHT;-1,19718274748259;3
7;-100;-160;NO_ACTION;-1,1835907250776;4
6;-120;-160;ROLL_LEFT;-0,300000004470348;1
