Geometry Friends Agents;;;;;;
World: ;Circle2014;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;5,7;20;913
2;10;3;3;13,2;45;1007
3;10;3;3;18;60;1000
4;10;4;4;20,7;80;1141
5;10;2;2;17,7;70;948
6;10;2;2;10,5;40;937
7;10;2,6;3;32;60;726
8;10;3;3;24,8;40;681
9;10;3;3;26,4;80;971
10;10;3;3;25,9;100;1040
;;;;;;9364
