Geometry Friends Agents;;;;;;
World: ;Circle2017;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;3;3;28,3;120;453
2;10;2;2;7,8;120;387
3;10;3;3;16,4;120;473
4;10;3;3;19,5;120;468
5;10;3;3;17,1;120;472
6;10;3;3;13;120;478
7;10;1;2;120;120;100
8;10;3;3;32,7;120;446
9;10;1;1;13,8;120;277
10;10;2,1;3;119,6;120;211
;;;;;;3765
