Sub Goal A Star Agents;;;;;;
World: ;Rectangle2014;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;1,7;2;21,5;40;263
2;10;2;2;7,1;25;343
3;10;1,2;3;74,7;80;133
4;10;0,1;2;20;20;10
5;10;2,6;5;90;90;260
6;10;2,1;3;30,7;40;256
7;10;2;3;50;50;200
8;10;0;3;60;60;0
9;10;2,9;3;14,7;35;406
10;10;0;3;35;35;0
;;;;;;1871
