Rapidly Exploring Random Tree Agents;;;;;;
World: ;Rectangle2014;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;21;40;295
2;10;1,6;2;11,4;25;269
3;10;2,2;3;71;80;242
4;10;0;2;20;20;0
5;10;2;5;90;90;200
6;10;0,3;3;39,4;40;33
7;10;1,1;3;50;50;110
8;10;2,4;3;44,6;60;291
9;10;2,8;3;13,6;35;403
10;10;0;3;35;35;0
;;;;;;1843
