Timestamp;Agent Implementation;World Name ;Level Number;Collectibles Collected;Collectibles to Catch;Passed Level?;Elapsed Game Time (s);Time Limit (s);Elapsed Real Time (s);Score;Endgame Message
2023-03-22_13:10:46;SubGoalAStarAgents;Rectangle2014;5;3;5;0;90,0000042747706;90;90,008;300;
2023-03-22_13:12:16;SubGoalAStarAgents;Rectangle2014;5;3;5;0;90,0000042747706;90;90,004;300;
2023-03-22_13:13:46;SubGoalAStarAgents;Rectangle2014;5;2;5;0;90,0000042747706;90;90,015;200;
2023-03-22_13:15:16;SubGoalAStarAgents;Rectangle2014;5;3;5;0;90,0000042747706;90;89,989;300;
2023-03-22_13:16:46;SubGoalAStarAgents;Rectangle2014;5;3;5;0;90,0000042747706;90;90,049;300;
2023-03-22_13:18:16;SubGoalAStarAgents;Rectangle2014;5;2;5;0;90,0000042747706;90;89,937;200;
2023-03-22_13:19:46;SubGoalAStarAgents;Rectangle2014;5;3;5;0;90,0000042747706;90;90,004;300;
2023-03-22_13:21:16;SubGoalAStarAgents;Rectangle2014;5;2;5;0;90,0000042747706;90;89,99;200;
2023-03-22_13:22:46;SubGoalAStarAgents;Rectangle2014;5;2;5;0;90,0000042747706;90;89,94;200;
2023-03-22_13:23:07;SubGoalAStarAgents;Rectangle2014;6;3;3;1;20,7000009831972;40;20,713;396;
2023-03-22_13:23:47;SubGoalAStarAgents;Rectangle2014;6;1;3;0;40,0000018998981;40;40,022;100;
2023-03-22_13:24:27;SubGoalAStarAgents;Rectangle2014;6;2;3;0;40,0000018998981;40;40,003;200;
2023-03-22_13:25:07;SubGoalAStarAgents;Rectangle2014;6;1;3;0;40,0000018998981;40;39,985;100;
2023-03-22_13:25:26;SubGoalAStarAgents;Rectangle2014;6;3;3;1;18,8700008962769;40;18,876;406;
2023-03-22_13:25:48;SubGoalAStarAgents;Rectangle2014;6;3;3;1;22,750001080567;40;22,754;386;
2023-03-22_13:26:28;SubGoalAStarAgents;Rectangle2014;6;1;3;0;40,0000018998981;40;40,007;100;
2023-03-22_13:26:51;SubGoalAStarAgents;Rectangle2014;6;3;3;1;22,6600010762922;40;22,652;387;
2023-03-22_13:27:31;SubGoalAStarAgents;Rectangle2014;6;1;3;0;40,0000018998981;40;39,995;100;
2023-03-22_13:27:53;SubGoalAStarAgents;Rectangle2014;6;3;3;1;22,0800010487437;40;22,088;390;
2023-03-22_13:28:43;SubGoalAStarAgents;Rectangle2014;7;2;3;0;50,0000023748726;50;49,998;200;
2023-03-22_13:29:33;SubGoalAStarAgents;Rectangle2014;7;2;3;0;50,0000023748726;50;50,002;200;
2023-03-22_13:30:23;SubGoalAStarAgents;Rectangle2014;7;2;3;0;50,0000023748726;50;50,01;200;
2023-03-22_13:31:13;SubGoalAStarAgents;Rectangle2014;7;2;3;0;50,0000023748726;50;50,006;200;
2023-03-22_13:32:03;SubGoalAStarAgents;Rectangle2014;7;2;3;0;50,0000023748726;50;50,006;200;
2023-03-22_13:32:53;SubGoalAStarAgents;Rectangle2014;7;2;3;0;50,0000023748726;50;49,993;200;
2023-03-22_13:33:43;SubGoalAStarAgents;Rectangle2014;7;2;3;0;50,0000023748726;50;50,007;200;
2023-03-22_13:34:33;SubGoalAStarAgents;Rectangle2014;7;2;3;0;50,0000023748726;50;50,013;200;
2023-03-22_13:35:23;SubGoalAStarAgents;Rectangle2014;7;2;3;0;50,0000023748726;50;50,01;200;
2023-03-22_13:36:13;SubGoalAStarAgents;Rectangle2014;7;2;3;0;50,0000023748726;50;49,999;200;
2023-03-22_13:37:13;SubGoalAStarAgents;Rectangle2014;8;0;3;0;60,0000028498471;60;60,007;0;
2023-03-22_13:38:13;SubGoalAStarAgents;Rectangle2014;8;0;3;0;60,0000028498471;60;60,011;0;
2023-03-22_13:39:13;SubGoalAStarAgents;Rectangle2014;8;0;3;0;60,0000028498471;60;60;0;
2023-03-22_13:40:13;SubGoalAStarAgents;Rectangle2014;8;0;3;0;60,0000028498471;60;59,989;0;
2023-03-22_13:41:13;SubGoalAStarAgents;Rectangle2014;8;0;3;0;60,0000028498471;60;60,021;0;
2023-03-22_13:42:13;SubGoalAStarAgents;Rectangle2014;8;0;3;0;60,0000028498471;60;60,008;0;
2023-03-22_13:43:13;SubGoalAStarAgents;Rectangle2014;8;0;3;0;60,0000028498471;60;60,01;0;
2023-03-22_13:44:13;SubGoalAStarAgents;Rectangle2014;8;0;3;0;60,0000028498471;60;60,025;0;
2023-03-22_13:45:13;SubGoalAStarAgents;Rectangle2014;8;0;3;0;60,0000028498471;60;59,975;0;
2023-03-22_13:46:13;SubGoalAStarAgents;Rectangle2014;8;0;3;0;60,0000028498471;60;60,011;0;
2023-03-22_13:46:27;SubGoalAStarAgents;Rectangle2014;9;3;3;1;13,0600006203167;35;13,058;425;
2023-03-22_13:46:39;SubGoalAStarAgents;Rectangle2014;9;3;3;1;12,8500006103422;35;12,85;427;
2023-03-22_13:47:14;SubGoalAStarAgents;Rectangle2014;9;2;3;0;35,0000016624108;35;35,004;200;
2023-03-22_13:47:27;SubGoalAStarAgents;Rectangle2014;9;3;3;1;12,160000577569;35;12,16;431;
2023-03-22_13:47:39;SubGoalAStarAgents;Rectangle2014;9;3;3;1;12,7900006074924;35;12,789;427;
2023-03-22_13:47:52;SubGoalAStarAgents;Rectangle2014;9;3;3;1;12,6600006013177;35;12,66;428;
2023-03-22_13:48:05;SubGoalAStarAgents;Rectangle2014;9;3;3;1;12,570000597043;35;12,572;428;
2023-03-22_13:48:17;SubGoalAStarAgents;Rectangle2014;9;3;3;1;12,5900005979929;35;12,596;428;
2023-03-22_13:48:29;SubGoalAStarAgents;Rectangle2014;9;3;3;1;11,5500005485956;35;11,544;434;
2023-03-22_13:48:40;SubGoalAStarAgents;Rectangle2014;9;3;3;1;11,5500005485956;35;11,538;434;
2023-03-22_13:49:15;SubGoalAStarAgents;Rectangle2014;10;0;3;0;35,0000016624108;35;35,015;0;
2023-03-22_13:49:50;SubGoalAStarAgents;Rectangle2014;10;0;3;0;35,0000016624108;35;35,012;0;
2023-03-22_13:50:25;SubGoalAStarAgents;Rectangle2014;10;0;3;0;35,0000016624108;35;35,005;0;
2023-03-22_13:51:00;SubGoalAStarAgents;Rectangle2014;10;0;3;0;35,0000016624108;35;35,011;0;
2023-03-22_13:51:35;SubGoalAStarAgents;Rectangle2014;10;0;3;0;35,0000016624108;35;34,989;0;
2023-03-22_13:52:10;SubGoalAStarAgents;Rectangle2014;10;0;3;0;35,0000016624108;35;34,997;0;
2023-03-22_13:52:45;SubGoalAStarAgents;Rectangle2014;10;0;3;0;35,0000016624108;35;35,003;0;
2023-03-22_13:53:20;SubGoalAStarAgents;Rectangle2014;10;0;3;0;35,0000016624108;35;34,995;0;
2023-03-22_13:53:55;SubGoalAStarAgents;Rectangle2014;10;0;3;0;35,0000016624108;35;35,011;0;
2023-03-22_13:54:30;SubGoalAStarAgents;Rectangle2014;10;0;3;0;35,0000016624108;35;35,005;0;
