I S T  Agents;;;;;;
World: ;Rectangle2014;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;1;2;40;40;100
2;10;2;2;9,6;25;323
3;10;1,7;3;80;80;170
4;10;0,4;2;20;20;40
5;10;0;5;90;90;0
6;10;2;3;40;40;200
7;10;0,5;3;50;50;50
8;10;0;3;60;60;0
9;10;1,5;3;35;35;150
10;10;0;3;35;35;0
;;;;;;1033
