Sub Goal A Star Agents;;;;;;;;
World: ;Rectangle2014;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimum score;Porcentaje optimo
1;10;1,8;2;18,8;40;711;975;73
2;10;2;2;7;25;920;1000;92
3;10;2;3;52,9;80;540;1125;48
4;10;0;2;20;20;0;1000;0
5;10;2,9;5;90;90;290;1278;23
6;10;3;3;21,5;40;763;950;80
7;10;2;3;50;50;200;1120;18
8;10;0;3;60;60;0;1100;0
9;10;3;3;12,6;35;941;1071;88
10;10;0;3;35;35;0;843;0
;;;;;;4365;;
