Geometry Friends Agents;;;;;;;;
World: ;Rectangle2014;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimum score;Porcentaje optimo
1;10;2;2;11,2;40;920;975;94
2;10;2;2;6,5;25;941;1000;94
3;10;2,1;3;76;80;260;1125;23
4;10;1,9;2;8,9;20;746;1000;75
5;10;5;5;55,8;90;880;1278;69
6;10;3;3;18,7;40;832;950;88
7;10;2;3;50;50;200;1120;18
8;10;3;3;23,4;60;910;1100;83
9;10;3;3;10,7;35;994;1071;93
10;10;2,4;3;26,8;35;474;843;56
;;;;;;7157;;
