Geometry Friends Agents;;;;;;
World: ;Rectangle2016;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;1,9;2;22,7;40;277
2;10;4;4;31,5;65;503
3;10;2;2;7;35;360
4;10;3;3;11,8;30;421
5;10;3;3;13,9;40;431
6;10;2,5;3;57;90;323
7;10;4;4;31,6;90;530
8;10;3;4;90;90;300
9;10;1,9;2;19,7;90;346
10;10;5;5;12,7;90;672
;;;;;;4163
