R R T Agents2017
World: ;Rectangle2014
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;1,4;3;115,5;40;153
2;10;1,2;2;23,7;25;130
3;10;0,9;3;80;80;90
4;10;0;2;2;20;0
5;10;1,6;5;90;90;160
6;10;1,2;3;40;40;120
7;10;2,4;3;43,8;50;265
8;10;1,5;3;60;60;150
9;10;0,3;3;5;35;41
10;10;0,1;3;35;35;10
