Geometry Friends Agents;;;;;;
World: ;Rectangle2014;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;12,7;40;882
2;10;2;2;7,2;25;911
3;10;3;3;25,4;80;983
4;10;2;2;11,2;20;639
5;10;5;5;35,4;90;1107
6;10;3;3;17,6;40;860
7;10;3;3;14,3;50;1014
8;10;3;3;27,3;60;845
9;10;3;3;12,2;35;951
10;10;2,7;3;25,5;35;541
;;;;;;8733
