Geometry Friends Agents;;;;;;
World: ;Rectangle2023;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;3;3;19,9;120;167
2;10;2;2;5,2;120;191
3;10;3;3;17,9;120;170
4;10;4;4;9,8;120;184
5;10;5;5;23,1;120;162
