Geometry Friends Agents;;;;;;;;
World: ;Cooperative2017;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimo;Porcentaje optimo
1;10;3;3;29,6;300;480;493;97
2;10;1;1;14,1;300;291;295;99
3;10;1,9;2;104,2;300;320;391;82
4;10;3;3;31,4;300;479;489;98
5;10;3;3;8,5;300;494;495;100
6;10;3;3;27,2;240;477;488;98
7;10;0;2;240;240;0;389;0
8;10;2,9;3;51,8;240;447;493;91
9;10;2;2;7,4;240;394;397;99
10;10;1,9;2;54,1;300;354;392;90
;;;;;;3736;;
