Geometry Friends Agents;;;;;;;;
World: ;Cooperative2017;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimo;Porcentaje optimo
1;10;2;3;300;300;200;493;41
2;10;0;1;300;300;0;295;0
3;10;0;2;300;300;0;391;0
4;10;1;3;300;300;100;489;20
5;10;2,4;3;204,8;300;303;495;61
6;10;0;3;240;240;0;488;0
7;10;0;2;240;240;0;389;0
8;10;2;3;240;240;200;493;41
9;10;2;2;6;240;395;397;99
10;10;0,7;2;300;300;70;392;18
;;;;;;1268;;
