Geometry Friends Agents
World: ;Rectangle2022.1
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;2;2;14,5;120;1479
2;1;4;4;17,2;120;2057
3;1;4;4;13,1;120;2091
4;1;2;2;15;120;1475
5;1;3;3;15,5;120;1771

7;1;4;4;20,3;120;2031

9;1;2;2;20,7;120;1428
10;1;4;4;39,9;120;1868
